track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
LA CANCI,J Balvin,2,2019,6,28,6398,31,1435127549.00,177,109,176,G,Major,75,43,65,15,0,11,32
Callaita,Bad Bunny,2,2019,5,31,9539,15,1304313953.00,162,116,176,D,Major,61,24,62,60,0,24,31
Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,1138474110.00,146,18,150,E,Minor,78,47,70,18,0,15,9
Boy With Luv (feat. Halsey),Halsey,2,2019,4,12,4260,0,1065580332.00,113,92,120,B,Minor,65,80,86,9,0,19,10
Falling,Harry Styles,1,2019,12,13,7556,0,1023187129.00,124,24,110,E,Major,57,6,27,84,0,9,3
Arcade,Duncan Laurence,1,2019,3,7,6646,0,991336132.00,107,47,72,A,Minor,45,27,33,82,0,14,4
Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809.00,133,181,117,A,Minor,73,31,69,6,0,11,4
Streets,Doja Cat,1,2019,11,7,5728,0,865640097.00,85,87,90,B,Major,75,19,46,21,4,34,8
Golden,Harry Styles,1,2019,12,13,8429,1,807015863.00,85,24,140,E,Minor,45,25,84,21,0,13,6
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.00,116,207,170,A,Major,55,58,72,11,0,11,15
love nwantiti (ah ah ah),Ckay,1,2019,7,26,5669,2,726837877.00,74,0,93,F,Minor,74,53,73,61,0,13,4
Lost in the Fire,The Weeknd,2,2019,1,11,7731,2,686734357.00,110,145,101,D,Major,66,18,68,9,0,12,4
Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,563902868.00,47,116,88,F,Major,31,31,63,47,27,21,12
Formula,Labrinth,1,2019,10,4,3444,7,554875730.00,24,85,145,B,Major,57,23,66,4,6,15,4
Love Nwantiti - Remix,Ckay,3,2019,8,30,2696,0,540539717.00,42,2,120,G#,Major,58,44,60,44,9,5,6
Mount Everest,Labrinth,1,2019,6,21,5443,0,467727006.00,45,1,89,,Minor,46,43,43,23,8,8,22
NEW MAGIC WAND,Tyler,2,2019,5,16,4708,0,461437791.00,13,7,140,F,Minor,62,46,73,10,0,67,11
All For Us - from the HBO Original Series Euphoria,Labrinth,2,2019,8,4,5342,0,426204830.00,33,123,141,D#,Major,37,17,67,2,0,34,9
Those Eyes,New West,1,2019,5,10,1507,14,411747614.00,24,71,120,E,Major,60,24,35,73,0,31,3
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.00,38,266,130,B,Major,47,56,90,0,0,10,4
Forever,Labrinth,1,2019,10,4,3618,0,282883169.00,21,86,80,E,Minor,56,19,46,92,72,11,3
Car's Outside,James Arthur,1,2019,10,18,794,10,265882712.00,38,25,150,A,Major,34,24,56,4,0,11,3
